,Brand,Product,Price,Rating,Reviews
0,NARS,Radiant Creamy Concealer,$30.00,753.3K loves,11K reviews
1,LAURA MERCIER,Translucent Loose Setting Powder,$39.00,642.2K loves,8K reviews
2,ESTÉE LAUDER,Double Wear Stay-in-Place Foundation,$43.00,397.9K loves,5K reviews
3,FENTY BEAUTY BY RIHANNA,Pro Filt'r Soft Matte Longwear Foundation,$35.00,603.4K loves,14K reviews
4,URBAN DECAY,All Nighter Long-Lasting Makeup Setting Spray,$33.00,496.9K loves,9K reviews
5,ARMANI BEAUTY,Luminous Silk Foundation,$64.00,326.6K loves,3K reviews
6,MAKE UP FOR EVER,Ultra HD Invisible Cover Foundation,$43.00,380.8K loves,9K reviews
7,BITE BEAUTY,Changemaker Supercharged Micellar Foundation,$39.50,21.8K loves,547 reviews
8,IT COSMETICS,CC+ Cream with SPF 50+,$39.50,224.3K loves,3K reviews
9,TOO FACED,Born This Way Foundation,$39.00,376.1K loves,8K reviews
