,Brand,Product,Price,Rating,Reviews
0,LAURA MERCIER,Translucent Loose Setting Powder,$39.00,642.3K loves,8K reviews
1,ARMANI BEAUTY,Luminous Silk Foundation,$64.00,326.8K loves,3K reviews
2,TOO FACED,Born This Way Foundation,$39.00,376.2K loves,8K reviews
3,HOURGLASS,Vanish™ Airbrush Concealer,$34.00,28.8K loves,457 reviews
4,KVD VEGAN BEAUTY,Lock-It Foundation,$37.00,304.2K loves,14K reviews
5,NARS,Light Reflecting Pressed Setting Powder,$37.00,50.8K loves,725 reviews
6,NARS,Natural Radiant Longwear Foundation,$49.00,160.2K loves,2K reviews
7,NARS,Pure Radiant Tinted Moisturizer Broad Spectrum SPF 30,$45.00,110.3K loves,2K reviews
8,ARMANI BEAUTY,Power Fabric Longwear High Cover Foundation SPF 25,$64.00,63.5K loves,748 reviews
9,HOURGLASS,Veil Mineral Primer,$54.00,201.2K loves,6K reviews
10,BOBBI BROWN,Prep & Perfect Skin Long Wear Customizable Set,"$69.00
($106.00 value)",8.9K loves,23 reviews
11,NARS,Soft Matte Complete Concealer,$30.00,152.9K loves,1K reviews
12,SEPHORA COLLECTION,Matte Perfection Powder Foundation,$20.00,52.4K loves,1K reviews
13,TARTE,Amazonian Clay Full Coverage Foundation SPF 15,$39.00,178.7K loves,6K reviews
14,FENTY BEAUTY BY RIHANNA,Pro Filt'r Instant Retouch Setting Powder,$32.00,98.2K loves,1K reviews
15,HOURGLASS,Veil™ Translucent Setting Powder,$46.00,81.9K loves,1K reviews
16,CHARLOTTE TILBURY,Hollywood Flawless Filter,$44.00,67.7K loves,465 reviews
17,LAURA MERCIER,Smooth Finish Foundation Powder,$48.00,30.6K loves,688 reviews
18,MAKE UP FOR EVER,Matte Velvet Skin Full Coverage Foundation,$38.00,35.9K loves,1K reviews
19,BAREMINERALS,Mineral Veil Setting Powder,$25.00,89.8K loves,5K reviews
20,IT COSMETICS,CC+ Cream Illumination with SPF 50+,$39.50,47.4K loves,621 reviews
21,CHARLOTTE TILBURY,Filmstar Bronze & Glow Contour Duo,$68.00,38.9K loves,151 reviews
22,STELLAR,Limitless Foundation,$38.00 $19.00,27.6K loves,402 reviews
23,SEPHORA COLLECTION,Perfection Mist Airbrush Foundation,$28.00,79.3K loves,2K reviews
24,NATASHA DENONA,Sculpt & Glow Face Highlighting & Contour Glow Palette,$89.00,17K loves,101 reviews
25,TOO FACED,Hangover Replenishing Face Primer,$34.00,163.6K loves,3K reviews
26,KOSAS,Tinted Face Oil Foundation,$42.00,37K loves,579 reviews
27,NARS,The Multiple,$39.00,109.2K loves,2K reviews
28,SUPERGOOP!,100% Mineral Smooth & Poreless Matte Screen SPF 40,$38.00,26.9K loves,315 reviews
29,SEPHORA COLLECTION,"Colorful Face Powders – Blush, Bronze, Highlight, & Contour",$14.00,24.1K loves,342 reviews
30,CHARLOTTE TILBURY,Magic Away Concealer,$32.00,36.3K loves,244 reviews
31,SEPHORA FAVORITES,Medium Customizable Foundation Set with Too Faced Born This Way Foundation,$39.00,2.7K loves,2 reviews
32,IT COSMETICS,CC+ Airbrush Perfecting Powder,$35.00,33.1K loves,263 reviews
33,TARTE,Amazonian Clay BB Tinted Moisturizer Broad Spectrum SPF 20 Sunscreen,$36.00,69.6K loves,2K reviews
34,FARSÁLI,Liquid Glass Radiance Serum,$54.00,24.6K loves,274 reviews
35,TARTE,Amazonian Clay Full Coverage Airbrush Foundation,$36.00,61.4K loves,1K reviews
36,BAREMINERALS,BARESKIN® Complete Coverage Serum Concealer,$24.00,36.8K loves,881 reviews
37,FENTY BEAUTY BY RIHANNA,Killawatt Foil Freestyle Highlighter Palette,$54.00 $27.00,47.5K loves,245 reviews
38,YVES SAINT LAURENT,Touche Eclat High Cover Radiant Concealer,$35.00,19.5K loves,205 reviews
39,NATASHA DENONA,Foundation X+,$45.00,4.5K loves,32 reviews
40,TARTE,SEA Aquacealer Concealer,$26.00,134.6K loves,1K reviews
41,LAURA MERCIER,Secret Brightening Powder for Under Eyes,$28.00,74.7K loves,1K reviews
42,FENTY BEAUTY BY RIHANNA,Diamond Bomb All-Over Diamond Veil,$39.00,98.6K loves,1K reviews
43,JOUER COSMETICS,Essential High Coverage Liquid Concealer,$22.00,38.3K loves,262 reviews
44,JOUER COSMETICS,Essential High Coverage Concealer Pen,$22.00,4.6K loves,3 reviews
45,BENEFIT COSMETICS,Boi-ing Cakeless Concealer,$22.00,17.3K loves,5K reviews
46,LANCÔME,SKIN FEELS GOOD Skin Nourishing Foundation,$35.00,23.8K loves,2K reviews
47,BECCA,"Prime, Set & Glow","$15.00
($52.00 value)",10K loves,25 reviews
48,DIOR,Diorskin Forever Undercover Foundation,$52.00,27.2K loves,466 reviews
49,FENTY BEAUTY BY RIHANNA,Pro Filt'r Hydrating Primer,$32.00,24.4K loves,115 reviews
50,HUDA BEAUTY,Tantour Contour & Bronzer Cream,$30.00,29.2K loves,236 reviews
51,FENTY BEAUTY BY RIHANNA,Invisimatte Blotting Powder,$32.00,94.1K loves,873 reviews
52,SMASHBOX,Photo Finish Oil & Shine Control Primer,$39.00,7.8K loves,376 reviews
53,BITE BEAUTY,Changemaker Flexible Coverage Pressed Powder,$36.00,3.8K loves,344 reviews
54,KVD VEGAN BEAUTY,Lock-It Edge Concealer Brush,$24.00,28K loves,1K reviews
55,SMASHBOX,Photo Finish Pore Minimizing Primer,$39.00,81.1K loves,1K reviews
56,YVES SAINT LAURENT,TOP SECRETS Instant Moisture Glow,$40.00,13.2K loves,55 reviews
57,LAURA MERCIER,Silk Crème Oil Free Photo Edition Foundation,$48.00,36.3K loves,2K reviews
58,BAREMINERALS,bareSkin™ PERFECTING VEIL Finishing Powder,$28.00,19.5K loves,209 reviews
59,BOBBI BROWN,Sheer Finish Pressed Setting Powder,$42.00,19.3K loves,230 reviews
60,CLINIQUE,Blended Face Powder and Brush,$28.50,15.1K loves,600 reviews
61,LAURA MERCIER,Secret Concealer,$28.00,25.8K loves,2K reviews
62,BAREMINERALS,Broad Spectrum Concealer,$22.00,50.4K loves,4K reviews
63,KVD VEGAN BEAUTY,Kitten Mini Shade + Light Contour Duo,$23.00,22.7K loves,165 reviews
64,NATASHA DENONA,Transformatte Pore Vanishing Matte Foundation,$45.00,9.8K loves,83 reviews
65,SEPHORA COLLECTION,Bright Future Color Correctors,$14.00,48.5K loves,873 reviews
66,SEPHORA COLLECTION,Matte Perfection Full Coverage Foundation,$20.00,10.5K loves,211 reviews
67,KEVYN AUCOIN,The Sensual Skin Enhancer Concealer,$48.00,70.2K loves,546 reviews
68,URBAN DECAY,All Nighter Ultra Matte Makeup Setting Spray,$33.00,4K loves,20 reviews
69,MARC JACOBS BEAUTY,O!Mega Glaze All-Over Foil Luminizer – Lust and Stardust Collection,$49.00 $29.50,9.7K loves,58 reviews
70,BECCA,Hydra-Mist Set & Refresh Powder,$39.00,46.9K loves,1K reviews
71,FENTY BEAUTY BY RIHANNA,Pro Filt'r Mattifying Primer,$32.00,20.4K loves,133 reviews
72,FENTY BEAUTY BY RIHANNA,Trophy Wife Life Makeup Set,$69.00,8.8K loves,19 reviews
73,MILK MAKEUP,Triple The Kush Set,"$25.00
($41.00 value)",12.6K loves,54 reviews
74,STELLAR,Limitless Concealer,$27.00 $13.50,9.4K loves,79 reviews
75,ANASTASIA BEVERLY HILLS,Amrezy Eyeshadow Palette,$49.00,10K loves,55 reviews
76,GRANDE COSMETICS,GrandeLASH™ - MD Lash Enhancing Serum,$65.00,71.3K loves,1K reviews
77,MARC JACOBS BEAUTY,Highliner Gel Eye Crayon Eyeliner,$26.00,248.1K loves,6K reviews
78,TOO FACED,Born This Way Super Coverage Multi-Use Sculpting Concealer,$29.00,213K loves,2K reviews
79,HUDA BEAUTY,Nude Obsessions Eyeshadow Palette,$29.00,112.2K loves,402 reviews
80,PAT MCGRATH LABS,MTHRSHP Sublime: Golden Opulence Eyeshadow Palette,$65.00,4.4K loves,17 reviews
81,SEPHORA COLLECTION,Retractable Waterproof Eyeliner,$13.00,143.9K loves,6K reviews
82,BENEFIT COSMETICS,Brow Contour Pro,$34.00 $17.00,30.9K loves,3K reviews
83,SEPHORA COLLECTION,Colorful Eyeshadow,$9.00,157.7K loves,973 reviews
84,GRANDE COSMETICS,GrandeLASH-MD Lash Enhancing Serum Mini,$34.00,12.9K loves,90 reviews
85,BENEFIT COSMETICS,Goof Proof Brow Pencil Easy Shape & Fill,$24.00,97.9K loves,1K reviews
86,MARC JACOBS BEAUTY,Fineliner Ultra-Skinny Gel Eye Crayon Eyeliner,$25.00,47.8K loves,787 reviews
87,KVD VEGAN BEAUTY,Shade + Light Eye Contour Palette,$48.00 $36.00,86.2K loves,2K reviews
88,FENTY BEAUTY BY RIHANNA,Killawatt Freestyle Highlighter,$36.00,354.6K loves,3K reviews
89,SEPHORA COLLECTION,#LASHSTORIES,$8.00 $4.00,48K loves,232 reviews
90,TARTE,SEA Surfer Curl™ Volumizing Mascara,$23.00,9.9K loves,98 reviews
91,LANCÔME,DÉFINICILS - High Definition Mascara,$27.50,46.8K loves,3K reviews
92,ANASTASIA BEVERLY HILLS,Brow Powder Duo,$23.00,140K loves,4K reviews
93,TARTE,"Lights, Camera, Lashes™ 4-in-1 Mascara",$23.00,96.5K loves,6K reviews
94,BAREMINERALS,BAREPRO® 16-Hr Full Coverage Concealer,$24.00,19.7K loves,2K reviews
95,URBAN DECAY,Naked3 Palette,$54.00,382.5K loves,6K reviews
96,CHARLOTTE TILBURY,Eyes To Mesmerize Cream Eyeshadow,$32.00,51.4K loves,200 reviews
97,VIOLET VOSS,Fun Sized Mini Eyeshadow Palette,$18.00,74.8K loves,349 reviews
98,BOBBI BROWN,Under Eye Corrector,$29.00,60.3K loves,1K reviews
99,TOO FACED,Better Than Sex Waterproof Mascara,$25.00,80.1K loves,3K reviews
100,FENTY BEAUTY BY RIHANNA,Brow MVP Ultra Fine Brow Pencil & Styler,$20.00,38.3K loves,586 reviews
101,NATASHA DENONA,Mini Lila Eyeshadow Palette,$25.00 $12.50,36.8K loves,397 reviews
102,RMS BEAUTY,Un Cover-Up Concealer/Foundation,$36.00,47.8K loves,485 reviews
103,FENTY BEAUTY BY RIHANNA,Flyliner Longwear Liquid Eyeliner,$22.00,64.5K loves,2K reviews
104,BAREMINERALS,BARESKIN® Complete Coverage Serum Concealer,$24.00,36.8K loves,881 reviews
105,FENTY BEAUTY BY RIHANNA,Killawatt Foil Freestyle Highlighter Palette,$54.00 $27.00,47.5K loves,245 reviews
106,MAKE UP FOR EVER,Aqua XL Eye Pencil Waterproof Eyeliner,$21.00,62.7K loves,827 reviews
107,MAKE UP FOR EVER,"Artist Color Pencil: Eye, Lip & Brow Pencil",$18.00,63.4K loves,267 reviews
108,TARTE,SEA Aquacealer Concealer,$26.00,134.6K loves,1K reviews
109,KVD VEGAN BEAUTY,Brow Struck Dimension Powder,$21.00 $8.00,25.3K loves,307 reviews
110,IT COSMETICS,Superhero Elastic Stretch Volumizing Mascara,$25.00,31K loves,1K reviews
111,KVD VEGAN BEAUTY,24-Hour Super Brow Long-Wear Pomade,$20.00,59.5K loves,3K reviews
112,LANCÔME,HYPNÔSE DRAMA Instant Full Body Volume Mascara,$27.50,34.7K loves,2K reviews
113,LANCÔME,Monsieur Big Waterproof Mascara,$25.00,9K loves,1K reviews
114,URBAN DECAY,Brow Blade Waterproof Eyebrow Pencil & Ink Stain,$26.00,23.5K loves,412 reviews
115,URBAN DECAY,Eyeshadow Primer Potion - Anti-Aging,$24.00,59.9K loves,1K reviews
