,Brand,Product,Price,Rating,Reviews
0,NARS,Radiant Creamy Concealer,$30.00,753.4K loves,11K reviews
1,URBAN DECAY,All Nighter Long-Lasting Makeup Setting Spray,$33.00,497K loves,9K reviews
2,IT COSMETICS,CC+ Cream with SPF 50+,$39.50,224.4K loves,3K reviews
3,LAURA MERCIER,Tinted Moisturizer Natural Skin Perfector Broad Spectrum SPF 30,$47.00,147.7K loves,995 reviews
4,LANCÔME,Teint Idole Ultra Long Wear Foundation,$47.00,199.5K loves,4K reviews
5,LAURA MERCIER,Tinted Moisturizer Broad Spectrum SPF 20 - Oil Free,$46.00,93.9K loves,5K reviews
6,SUPERGOOP!,Unseen Sunscreen SPF 40,$34.00,8K loves,1K reviews
7,SMASHBOX,Photo Finish Foundation Primer,$36.00,209.2K loves,7K reviews
8,NARS,Sheer Glow Foundation,$47.00,175.6K loves,4K reviews
9,FENTY BEAUTY BY RIHANNA,Pro Filt'r Hydrating Longwear Foundation,$35.00,67.3K loves,1K reviews
10,FENTY BEAUTY BY RIHANNA,Pro Filt'r Instant Retouch Concealer,$26.00,135.1K loves,1K reviews
11,DR. JART+,Cicapair™ Tiger Grass Color Correcting Treatment SPF 30,$52.00,84.1K loves,2K reviews
12,TARTE,SEA Water Foundation Broad Spectrum SPF 15,$39.00,173K loves,3K reviews
13,SUPERGOOP!,CC Cream Daily Correct Broad Spectrum SPF 35 Sunscreen,$36.00,47.7K loves,678 reviews
14,IT COSMETICS,Bye Bye Under Eye Full Coverage Anti-Aging Waterproof Concealer,$27.00,37K loves,627 reviews
15,HOURGLASS,Vanish™ Seamless Finish Foundation Stick,$46.00,242.2K loves,6K reviews
16,HUDA BEAUTY,Easy Bake Loose Baking & Setting Powder,$34.00,85.3K loves,793 reviews
17,CLINIQUE,Even Better Foundation Makeup Broad Spectrum SPF 15,$29.50,65.6K loves,2K reviews
18,SMASHBOX,Studio Skin 15 Hour Hydrating Foundation,$36.00,86.7K loves,2K reviews
