,Brand,Product,Price,Rating,Reviews
0,YVES SAINT LAURENT,TOUCHE ECLAT All-In-One Glow,$48.00,31.9K loves,529 reviews
1,TARTE,Timeless Smoothing Primer,$39.00,52.1K loves,729 reviews
2,SMASHBOX,Photo Finish Foundation Primer Jumbo,$52.00,512 loves,0 reviews
3,ARMANI BEAUTY,Power Fabric Concealer,$34.00,19.7K loves,774 reviews
4,TOM FORD,Traceless Foundation Stick,$88.00,22.6K loves,224 reviews
5,LAURA MERCIER,Pure Canvas Primer - Illuminating,$38.00,1.9K loves,3 reviews
6,MILK MAKEUP,Blur Liquid Matte Foundation,$40.00,57K loves,1K reviews
7,BECCA,Light Shifter Brightening Concealer,$28.00,2.9K loves,378 reviews
8,CLINIQUE,Stay-Matte Oil-Free Makeup Foundation,$28.50,36.3K loves,1K reviews
9,LAURA MERCIER,Matte Radiance Baked Powder Compact,$44.00,83.6K loves,946 reviews
10,MILK MAKEUP,Flex Foundation Stick,$36.00,23.3K loves,875 reviews
11,COVER FX,Total Cover Cream Foundation,$42.00,37.7K loves,1K reviews
12,ESTÉE LAUDER,Double Wear Stay-In-Place Flawless Wear Concealer,$29.00,30.5K loves,318 reviews
13,THE ORDINARY,High-Adherence Silicone Primer,$4.90,42.9K loves,547 reviews
14,BOBBI BROWN,Creamy Concealer Kit,$39.00,29.2K loves,543 reviews
15,KOSAS,Color & Light: Crème Cream Blush & Highlighter Duo,$34.00,18.1K loves,96 reviews
16,ILIA,Soft Focus Finishing Powder,$34.00,10.8K loves,74 reviews
17,FENTY BEAUTY BY RIHANNA,"Full Frontal Volume, Lift & Curl Mascara",$24.00,18.9K loves,1K reviews
18,FENTY BEAUTY BY RIHANNA,Flypencil Longwear Pencil Eyeliner,$22.00,24.1K loves,40 reviews
19,HUDA BEAUTY,Mercury Retrograde Eyeshadow Palette,$67.00,48.9K loves,354 reviews
20,URBAN DECAY,24/7 Glide-On Eye Pencil,$22.00,389.8K loves,15K reviews
21,TARTE,Maracuja Creaseless Undereye Concealer,$26.00,72K loves,1K reviews
22,ANASTASIA BEVERLY HILLS,Brow Definer,$23.00,177.8K loves,3K reviews
23,HUDA BEAUTY,The New Nude Eyeshadow Palette,$65.00,204.1K loves,1K reviews
24,BENEFIT COSMETICS,Roller Lash Curling & Lifting Mascara,$25.00,168.2K loves,5K reviews
25,SEPHORA COLLECTION,Sephora PRO Warm Palette,$68.00,84.7K loves,402 reviews
26,ANASTASIA BEVERLY HILLS,Clear Brow Gel,$22.00,157.1K loves,3K reviews
27,BECCA,Under Eye Brightening Corrector,$32.00,89.4K loves,1K reviews
28,ANASTASIA BEVERLY HILLS,Soft Glam Eyeshadow Palette,$42.00,260.8K loves,2K reviews
29,HUDA BEAUTY,Obsessions Eyeshadow Palette,$27.00,611.9K loves,4K reviews
30,URBAN DECAY,Naked2 Palette,$54.00,336.1K loves,6K reviews
31,YVES SAINT LAURENT,Touche Eclat All-Over Brightening Pen,$35.00,142.3K loves,4K reviews
32,URBAN DECAY,Naked2 Basics Eyeshadow Palette,$29.00,182K loves,1K reviews
33,CHARLOTTE TILBURY,Darling Eyeshadow Palette,$57.00,10.3K loves,13 reviews
34,LAURA MERCIER,Flawless Fusion Ultra Longwear Concealer,$29.00,60.7K loves,1K reviews
35,MAKE UP FOR EVER,Full Cover Concealer,$34.00,106.7K loves,4K reviews
36,BOBBI BROWN,Long-Wear Cream Shadow Stick,$30.00,55.3K loves,465 reviews
37,LASHFOOD,Phyto-Medic Eyelash Enhancer,$78.00,27.3K loves,725 reviews
38,BENEFIT COSMETICS,Gimme Brow+ Volumizing Eyebrow Gel Mini,$14.00,35.3K loves,320 reviews
39,SEPHORA COLLECTION,Eye Love Eyeshadow Palette,$14.00,38.4K loves,218 reviews
40,BUXOM,Lash Volumizing Mascara,$22.00,54.1K loves,9K reviews
41,HUDA BEAUTY,Matte & Metal Melted Double Ended Eyeshadows,$25.00,76K loves,1K reviews
42,BLINC,Mascara Amplified,$26.00,19K loves,1K reviews
43,SMASHBOX,Always Sharp Waterproof Kôhl Eyeliner,$21.00,28.4K loves,1K reviews
44,MILK MAKEUP,KUSH Fiber Brow Gel,$20.00,47.9K loves,1K reviews
45,FARSÁLI,Unicorn Essence Antioxidant Primer Serum,$54.00,140.2K loves,1K reviews
46,CLINIQUE,Lash Power Mascara Long-Wearing Formula,$19.50,32.9K loves,2K reviews
47,URBAN DECAY,Naked Honey Eyeshadow Palette,$49.00,49.4K loves,232 reviews
48,BECCA,Anti-Fatigue Under Eye Primer,$32.00,30.6K loves,755 reviews
49,CHARLOTTE TILBURY,Magic Vanish Color Corrector,$32.00,12.7K loves,63 reviews
