,Brand,Product,Price,Rating,Reviews
0,SEPHORA COLLECTION,Bright Future Gel Serum Concealer,$14.00,121.6K loves,2K reviews
1,SEPHORA COLLECTION,MicroSmooth Baked Foundation Face Powder,$22.00,67.1K loves,1K reviews
2,NARS,All Day Luminous Weightless Foundation,$49.00,141.6K loves,4K reviews
3,BOBBI BROWN,Skin Foundation Stick,$47.00,62.6K loves,1K reviews
4,IT COSMETICS,Bye Bye Redness Neutralizing Color-Correcting Cream,$34.00,37.1K loves,733 reviews
5,URBAN DECAY,Stay Naked Correcting Concealer,$29.00,13.2K loves,796 reviews
6,ANASTASIA BEVERLY HILLS,Luminous Foundation,$38.00,23.7K loves,1K reviews
7,SMASHBOX,Cali Contour Palette,$40.00,35.3K loves,326 reviews
8,CLINIQUE,Acne Solutions Liquid Makeup Foundation,$29.50,30.2K loves,1K reviews
9,LANCÔME,Teint Idole Ultra Longwear Foundation Stick SPF 21,$43.00,34.7K loves,1K reviews
10,TARTE,Maracuja Creaseless Undereye Concealer Mini,$10.00,22.7K loves,128 reviews
11,CLINIQUE,Superpowder Double Face Makeup Foundation,$28.50,20.1K loves,667 reviews
12,CLINIQUE,Moisture Surge CC Cream Hydrating Colour Corrector Broad Spectrum SPF 30,$39.50,29.5K loves,750 reviews
13,ARMANI BEAUTY,Luminous Silk Compact Powder Foundation,$62.00,28.9K loves,181 reviews
14,IT COSMETICS,Bye Bye Pores Pressed Poreless Finish Airbrush Pressed Powder,$30.00,32.7K loves,444 reviews
15,STILA,One Step Correct,$36.00,50.4K loves,1K reviews
16,ANASTASIA BEVERLY HILLS,Sugar Glow Kit,$40.00,132K loves,821 reviews
17,FENTY BEAUTY BY RIHANNA,Stunna New Year Highlighter + Lip Set: Lunar New Year Edition,"$50.00
($61.00 value)",4.3K loves,2 reviews
18,SUPERGOOP!,Invincible Setting Powder SPF 45,$30.00,23.4K loves,485 reviews
19,IT COSMETICS,Bye Bye Pores Poreless Finish Airbrush Powder,$29.00,23.5K loves,274 reviews
20,NARS,Radiant Creamy Concealer,$30.00,753.3K loves,11K reviews
21,STILA,Stay All Day® Waterproof Liquid Eye Liner,$22.00,305.1K loves,10K reviews
22,LAURA MERCIER,Caviar Stick Eye Shadow,$29.00,156.2K loves,3K reviews
23,BENEFIT COSMETICS,BADgal BANG! Volumizing Mascara,$25.00,51.2K loves,4K reviews
24,LANCÔME,CILS BOOSTER XL Super-Enhancing Mascara Base,$26.50,66.3K loves,4K reviews
25,DIOR,Diorshow Mascara,$29.50,45.3K loves,1K reviews
26,DIOR,Diorshow Maximizer 3D Triple volume plumping lash primer,$29.50,47.6K loves,700 reviews
27,KVD VEGAN BEAUTY,Alchemist Holographic Palette,$32.00 $10.00,132.3K loves,1K reviews
28,SEPHORA COLLECTION,Bright Future Gel Serum Concealer,$14.00,121.6K loves,2K reviews
29,NATASHA DENONA,Mini Glam Eyeshadow Palette,$25.00,13.2K loves,64 reviews
30,BOBBI BROWN,Long-Wear Gel Eyeliner,$27.00,101.5K loves,2K reviews
31,HOURGLASS,Caution™ Extreme Lash Mascara,$29.00,50.7K loves,2K reviews
32,DIOR,Diorshow Iconic Overcurl Mascara,$29.50,36.1K loves,1K reviews
33,KAJA,Beauty Bento Bouncy Shimmer Eyeshadow Trio,$21.00,110.2K loves,1K reviews
34,IT COSMETICS,Bye Bye Under Eye Illumination™ Full Coverage Anti-Aging Waterproof Concealer,$27.00,55.5K loves,1K reviews
35,BENEFIT COSMETICS,Boi-ing Industrial Strength Concealer,$22.00,62.3K loves,4K reviews
36,ANASTASIA BEVERLY HILLS,Norvina® Pro Pigment Palette Vol. 3,$60.00,24K loves,82 reviews
37,IT COSMETICS,Lash Blowout Mascara,$25.00,11.4K loves,426 reviews
38,SEPHORA COLLECTION,Sephora PRO New Nudes Palette,$68.00,18.7K loves,54 reviews
39,URBAN DECAY,Naked Cherry Eyeshadow Palette,$49.00,85.9K loves,473 reviews
40,BAREMINERALS,Broad Spectrum Concealer,$22.00,50.4K loves,4K reviews
41,LANCÔME,HYPNÔSE - Custom Volume Mascara,$27.50,15.4K loves,899 reviews
42,TARTE,"Lights, Camera, Splashes™ Waterproof Mascara",$23.00,27.9K loves,1K reviews
43,KVD VEGAN BEAUTY,Cake Pencil Eyeliner,$20.00,8.2K loves,911 reviews
44,DIOR,5 Couleurs Eyeshadow,$62.00,24.2K loves,87 reviews
45,SMASHBOX,Cover Shot: Eye Palettes,$29.00,138.4K loves,1K reviews
46,BENEFIT COSMETICS,ka-BROW! Cream-Gel Eyebrow Color with Brush,$24.00,60.1K loves,1K reviews
47,TARTE,Colored Clay CC Undereye Corrector,$25.00,23.8K loves,595 reviews
48,TARTE,Sex Kitten Liquid Liner,$20.00,24.5K loves,503 reviews
49,CHARLOTTE TILBURY,Legendary Lashes Volume 2 Mascara,$32.00,8.7K loves,102 reviews
